review,rating,date,bank,source,clean_review
It good and easy to use,5,2025-03-11,Dashen,Google Play,good easy use
በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።,5,2025-03-10,Dashen,Google Play,በጣም አሪፍ መተግበሪያ አመሠግናለሁ
"Greately improved since it was released! I really like the budget and expense tegistration feature. For ATM or POS withdrawals, it is not possible to account these expenses, even if it is visible on the transactions window. If that can be worked on, it will be improve so much!!",5,2025-03-10,Dashen,Google Play,greately improved since released really like budget expense tegistration feature atm po withdrawal possible account expense even visible transaction window worked improve much
Wow Excellent app,5,2025-03-08,Dashen,Google Play,wow excellent app
Nice app but i experience some issues with others banks transfer it keeps saying account is not exist most of the time.,4,2025-03-08,Dashen,Google Play,nice app experience issue others bank transfer keep saying account exist time
Add the option to send money to any telebirr account like amole does.,3,2025-03-08,Dashen,Google Play,add option send money telebirr account like amole
It's best,5,2025-03-08,Dashen,Google Play,best
no one dashen yichlal,5,2025-03-07,Dashen,Google Play,one dashen yichlal
In short ! I'm so proud of this app developers for their highest professional of developing. Thanks,5,2025-03-06,Dashen,Google Play,short proud app developer highest professional developing thanks
The speed is too slow. Need some improvements.,2,2025-03-06,Dashen,Google Play,speed slow need improvement
Fantastic app,5,2025-03-01,Dashen,Google Play,fantastic app
I wish dark mode feature is add as an option but it's good app,5,2025-02-27,Dashen,Google Play,wish dark mode feature add option good app
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26,Dashen,Google Play,super ultimate digital banking app living name speed efficiency innovation designed seamless experience offer lightningfast transaction toptier security effortless financial management super banking never smooth smart super
"The Dashen Super App is a game-changer in digital banking, offering a seamless and convenient experience. With its user-friendly interface, fast transactions, and a wide range of financial services, it simplifies banking for customers. Features like bill payments, fund transfers, mobile top-ups, and loan applications make it an all-in-one solution. Plus, its security measures ensure safe and reliable Experiance effortless banking",5,2025-02-26,Dashen,Google Play,dashen super app gamechanger digital banking offering seamless convenient experience userfriendly interface fast transaction wide range financial service simplifies banking customer feature like bill payment fund transfer mobile topups loan application make allinone solution plus security measure ensure safe reliable experiance effortless banking
ከጰነጨየጠ,2,2025-02-26,Dashen,Google Play,ከጰነጨየጠ
"It has good feature. But, it is Very Slow! difficult to pay or receive. The Speed should be improved, else I didn't recommend.",2,2025-02-24,Dashen,Google Play,good feature slow difficult pay receive speed improved else didnt recommend
አፕልኬሽኑ አሪፍ ሆኖ ሳለ ቴሌብር ወደራስ ብቻ ለምን ሆነ እንደ ድሮው ለሰውም መላክ ቢቻል,4,2025-02-22,Dashen,Google Play,አፕልኬሽኑ አሪፍ ቴሌብር ወደራስ ለምን እንደ ድሮው ለሰውም መላክ ቢቻል
No good,1,2025-02-22,Dashen,Google Play,good
Wow amazing app,5,2025-02-21,Dashen,Google Play,wow amazing app
best platform... Please avoid otp,5,2025-02-21,Dashen,Google Play,best platform please avoid otp
Super smart app.,5,2025-02-18,Dashen,Google Play,super smart app
best 👍👍,5,2025-02-16,Dashen,Google Play,best
I don't know what happens but the application is not send verification pass code you should fix that,1,2025-02-16,Dashen,Google Play,dont know happens application send verification pas code fix
This app doesn't work on my phone my phone is Samsung Galaxy s7 android version 9 All other financial apps work like telebirr CBE M_pesa...,1,2025-02-14,Dashen,Google Play,app doesnt work phone phone samsung galaxy android version financial apps work like telebirr cbe m_pesa
"Dashen Super app is secure, very easy to use and has more services uniquely like budgeting, chat, IPS...",5,2025-02-14,Dashen,Google Play,dashen super app secure easy use service uniquely like budgeting chat ip
Amazing and user friendly supper app and looking forward the additional features,5,2025-02-14,Dashen,Google Play,amazing user friendly supper app looking forward additional feature
it's amazing app i have seen ever,5,2025-02-13,Dashen,Google Play,amazing app seen ever
One star deducted for not to able to transfer to telebirr.,4,2025-02-13,Dashen,Google Play,one star deducted able transfer telebirr
ጥሩ ነው ግን በደንብ ሊሸሻል ይገባል,4,2025-02-13,Dashen,Google Play,በደንብ ሊሸሻል ይገባል
ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::,4,2025-02-12,Dashen,Google Play,ፍጥነቱ በጣም አሪፍ ቀለል ነገር ተጨማሪ ቴሌብር ኤጀንት መላኪያ ቢካተትበት
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12,Dashen,Google Play,keep good work plea add water electric utility payment
The app missed some important features 1. It does't show recent transactions 2. Transfer to Telebirr limited to own telebirr 3. The statement does't show running balance,2,2025-02-11,Dashen,Google Play,app missed important feature doest show recent transaction transfer telebirr limited telebirr statement doest show running balance
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10,Dashen,Google Play,simple fast easy
"የሚገርም aplication ነው, ነገር ግን ብር ትራንስፈር ሲደረግ ያለ ፒን መሆኑ risk አለው ሁሉ ጊዜ የ ትራንስፈር መደምደሚያ ፒን መሆን አለበት!!!!!!!!!!!!:: አሱ ቢስተካከል 5 star አስከዛው ግን 4 ሰጥቻለው::",4,2025-02-09,Dashen,Google Play,የሚገርም aplication ነገር ትራንስፈር ሲደረግ መሆኑ risk አለው ትራንስፈር መደምደሚያ መሆን አለበት ቢስተካከል star አስከዛው ሰጥቻለው
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07,Dashen,Google Play,baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra godina jimmaa magaalaa aggaaroo irraa muaz abamecha abamilki
It doesn't work,1,2025-02-07,Dashen,Google Play,doesnt work
"#Dashen Super App; Super easy to use, secure, and fast transaction. Love it!",5,2025-02-07,Dashen,Google Play,dashen super app super easy use secure fast transaction love
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06,Dashen,Google Play,tried new dash bank super app today amazingly easy funi recommend download use really like
Gud app kegza ga mezmn endze new aind ermjh kedme nachu hlam,5,2025-02-06,Dashen,Google Play,gud app kegza mezmn endze new aind ermjh kedme nachu hlam
"Good app, bad security",3,2025-02-06,Dashen,Google Play,good app bad security
On Transaction page only show sent Transaction. Try to include received transaction.,4,2025-02-06,Dashen,Google Play,transaction page show sent transaction try include received transaction
Wonderful Application 😍,5,2025-02-05,Dashen,Google Play,wonderful application
I loved it,5,2025-02-05,Dashen,Google Play,loved
አሁን ገና አንድ እርምጃ ቀደማችው,5,2025-02-04,Dashen,Google Play,አሁን አንድ እርምጃ ቀደማችው
I am so thankful for having this best app Dashen one step ahead,5,2025-02-04,Dashen,Google Play,thankful best app dashen one step ahead
Not good this app,1,2025-02-04,Dashen,Google Play,good app
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen,Google Play,excellent app ever need improvement speed transaction list
"It does not work functional ,",1,2025-02-02,Dashen,Google Play,work functional
all of dashen bank customers use the application it is good to use,5,2025-02-01,Dashen,Google Play,dashen bank customer use application good use
Gret experience,5,2025-02-01,Dashen,Google Play,gret experience
All good we need more,3,2025-01-31,Dashen,Google Play,good need
"Dashen super app is easy to use, fast and robust",5,2025-01-31,Dashen,Google Play,dashen super app easy use fast robust
it was amazing app.....thank you dashen bank....,5,2025-01-30,Dashen,Google Play,amazing appthank dashen bank
Dashen bank super app for easy life.,5,2025-01-30,Dashen,Google Play,dashen bank super app easy life
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30,Dashen,Google Play,excellent uiux beyond banking service
Send to oher bank የሚለዉ ዉስጥ ገብተን ወደ addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ ወደ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር ነዉ መጠየቅ ያለበት ይመስለኛል,2,2025-01-29,Dashen,Google Play,send oher bank የሚለዉ ዉስጥ ገብተን addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር መጠየቅ ያለበት ይመስለኛል
Just Wow,5,2025-01-29,Dashen,Google Play,wow
mobile banking to the next level,5,2025-01-28,Dashen,Google Play,mobile banking next level
The first 3 star review is me,3,2025-01-25,Dashen,Google Play,first star review
Is not working,1,2025-01-25,Dashen,Google Play,working
"Fast, reliable and user friendly. Amazing chatting features. Keep it up! Always one step ahead!",5,2025-01-24,Dashen,Google Play,fast reliable user friendly amazing chatting feature keep always one step ahead
V good ❗️,5,2025-01-24,Dashen,Google Play,good
"This app is literally the best thing ever The chat banking is so easy just text and it’s done Super smooth, fast, and honestly a life saverIf you haven’t downloaded it yet you’re missing out big time",5,2025-01-23,Dashen,Google Play,app literally best thing ever chat banking easy text done super smooth fast honestly life saverif havent downloaded yet youre missing big time
I only see white page,2,2025-01-23,Dashen,Google Play,see white page
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,Dashen,Google Play,excellent banking app need need physical branch use dashen bank super app instead ive never issue anything dashen bank super app havent handled swiftly resolved satisfaction dont often write review appbank would highly recommended everyone
Amizing Application 😍,5,2025-01-22,Dashen,Google Play,amizing application
Fastest and easy to use,5,2025-01-22,Dashen,Google Play,fastest easy use
ስም ብቻ 😏,2,2025-01-21,Dashen,Google Play,
Exellent app with exellent banking system and exellent bank ever,5,2025-01-21,Dashen,Google Play,exellent app exellent banking system exellent bank ever
Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20,Dashen,Google Play,amazing app use usual option transferring telebirr pesa available amole app omitted dasheen favourite keep
Needs some improvement,5,2025-01-20,Dashen,Google Play,need improvement
Amazing super app,5,2025-01-19,Dashen,Google Play,amazing super app
I hope it will be better than amole,5,2025-01-18,Dashen,Google Play,hope better amole
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18,Dashen,Google Play,wly super app ilove
Dashen yichalal. Ewnetem one step a head,5,2025-01-17,Dashen,Google Play,dashen yichalal ewnetem one step head
It has a Good performance but need more upgrade for more performance like when we login account not be fast balance show other thing looking good. Carry on. Thanks so much for Greatest service,4,2025-01-17,Dashen,Google Play,good performance need upgrade performance like login account fast balance show thing looking good carry thanks much greatest service
"It is a very wonderful work that has saved its time. That is why it is ""Always one step ahead!""",5,2025-01-17,Dashen,Google Play,wonderful work saved time always one step ahead
“Life-changing!” I can’t imagine going back to traditional banking after using this app. It’s so convenient.,5,2025-01-17,Dashen,Google Play,lifechanging cant imagine going back traditional banking using app convenient
