review,rating,date,bank,source,clean_review,textblob_polarity,textblob_subjectivity,textblob_sentiment,distilbert_score,distilbert_sentiment
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,cbe best financial application dimple use would like say thank much developer application really appreciate app,0.35,0.175,positive,0.9978892207145691,positive
nice,5,2025-05-26,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
good job,5,2025-05-26,CBE,Google Play,good job,0.7,0.6000000000000001,positive,0.999835729598999,positive
it's awesome!!,5,2025-05-25,CBE,Google Play,awesome,1.0,1.0,positive,0.9998682737350464,positive
thankyou every one,5,2025-05-25,CBE,Google Play,thankyou every one,0.0,0.0,neutral,0.9998461008071899,positive
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,ronaldo,0.0,0.0,neutral,0.9992672801017761,positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,app absolutely fantastic love enjoying let support foundation together,0.4666666666666666,0.7000000000000001,positive,0.9997619986534119,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using wifi mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon nontechnical influence removed essential service,-0.155,0.5018750000000001,negative,0.9996224641799927,negative
mortuary app,5,2025-05-25,CBE,Google Play,mortuary app,0.0,0.0,neutral,0.7924914956092834,negative
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,smart app stoped period time device reason,0.21428571428571427,0.6428571428571429,positive,0.9639247059822083,negative
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,amazing app used app one year,0.6000000000000001,0.9,positive,0.9996716976165771,positive
👍,5,2025-05-24,CBE,Google Play,,0.0,0.0,neutral,0.9541465044021606,positive
good app,5,2025-05-24,CBE,Google Play,good app,0.7,0.6000000000000001,positive,0.9998493194580078,positive
i love it 😍😘,5,2025-05-24,CBE,Google Play,love,0.5,0.6,positive,0.9998735189437866,positive
It makes life easy!👌,5,2025-05-24,CBE,Google Play,make life easy,0.43333333333333335,0.8333333333333334,positive,0.999527096748352,positive
its not fast,1,2025-05-24,CBE,Google Play,fast,0.2,0.6,positive,0.9989494681358337,positive
wow,4,2025-05-24,CBE,Google Play,wow,0.1,1.0,positive,0.999592125415802,positive
it is sooo good,5,2025-05-24,CBE,Google Play,sooo good,0.7,0.6000000000000001,positive,0.9998644590377808,positive
excellent,5,2025-05-24,CBE,Google Play,excellent,1.0,1.0,positive,0.9998434782028198,positive
ok,1,2025-05-24,CBE,Google Play,,0.0,0.0,neutral,0.9541465044021606,positive
Fantastic,5,2025-05-23,CBE,Google Play,fantastic,0.4,0.9,positive,0.9998743534088135,positive
accessible to using,5,2025-05-23,CBE,Google Play,accessible using,0.375,0.375,positive,0.9994408488273621,positive
I like it,4,2025-05-23,CBE,Google Play,like,0.0,0.0,neutral,0.9910564422607422,positive
why you change default network?,5,2025-05-23,CBE,Google Play,change default network,0.0,0.0,neutral,0.9772279858589172,negative
very nice 👍,5,2025-05-23,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
nice fast app,5,2025-05-23,CBE,Google Play,nice fast app,0.4,0.8,positive,0.999833345413208,positive
how to I get my money,5,2025-05-23,CBE,Google Play,get money,0.0,0.0,neutral,0.680245041847229,negative
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,bad cant even load need improve service,-0.6999999999999998,0.6666666666666666,negative,0.9993813037872314,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,good app please make reliable crash sometimes,0.7,0.6000000000000001,positive,0.9988992214202881,positive
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,busy dont know prefer 889,0.1,0.3,positive,0.995585560798645,negative
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,sometimes nasty lag several hour fix rest,-0.5,0.5,negative,0.997215747833252,negative
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,boring mobil banking application ethiopiaplease use alternative private bank mobile banking apps,-0.5,0.6875,negative,0.9906253814697266,negative
hojii bonsaadha,5,2025-05-22,CBE,Google Play,hojii bonsaadha,0.0,0.0,neutral,0.9568661451339722,positive
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,userfriendly appsbecause app easy,0.43333333333333335,0.8333333333333334,positive,0.9732796549797058,negative
Awosome!!!,5,2025-05-22,CBE,Google Play,awosome,0.0,0.0,neutral,0.6613028645515442,negative
"Very good app,",5,2025-05-22,CBE,Google Play,good app,0.7,0.6000000000000001,positive,0.9998493194580078,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,sync problem may 2025 date stack may 2025 help pls,0.0,0.0,neutral,0.9974986910820007,negative
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,መተግበሪያ በጣም app nice,0.6,1.0,positive,0.9813903570175171,positive
I hate this app 😒,1,2025-05-22,CBE,Google Play,hate app,-0.8,0.9,negative,0.9996696710586548,negative
trustful,5,2025-05-22,CBE,Google Play,trustful,0.0,0.0,neutral,0.9998213648796082,positive
I like,5,2025-05-22,CBE,Google Play,like,0.0,0.0,neutral,0.9910564422607422,positive
update issue,4,2025-05-22,CBE,Google Play,update issue,0.0,0.0,neutral,0.5473260283470154,positive
its not working over safari network,1,2025-05-22,CBE,Google Play,working safari network,0.0,0.0,neutral,0.8978400826454163,positive
oldie,1,2025-05-22,CBE,Google Play,oldie,0.0,0.0,neutral,0.6663177013397217,negative
it doesn't work,1,2025-05-21,CBE,Google Play,doesnt work,0.0,0.0,neutral,0.9989099502563477,negative
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,app good using well,0.7,0.6000000000000001,positive,0.9997630715370178,positive
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,nice app android phone,0.6,1.0,positive,0.9996562004089355,positive
Yes Yes,5,2025-05-21,CBE,Google Play,yes yes,0.0,0.0,neutral,0.9997482895851135,positive
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,በጣም ከርፋፋ,0.0,0.0,neutral,0.7850590348243713,negative
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,easy use helpful life,0.43333333333333335,0.8333333333333334,positive,0.9875379800796509,positive
good 👍,4,2025-05-21,CBE,Google Play,good,0.7,0.6000000000000001,positive,0.9998161196708679,positive
the best mobile banking app,5,2025-05-21,CBE,Google Play,best mobile banking app,1.0,0.3,positive,0.9997095465660095,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,app useful appit save timeand secure,0.35,0.3,positive,0.6832613945007324,positive
it's a good application 👍,5,2025-05-21,CBE,Google Play,good application,0.7,0.6000000000000001,positive,0.999854564666748,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,screenshot reffresh option annoying make transaction delaying activity,-0.8,0.9,negative,0.9992175102233887,negative
poor service,1,2025-05-21,CBE,Google Play,poor service,-0.4,0.6,negative,0.9996534585952759,negative
amazing,5,2025-05-20,CBE,Google Play,amazing,0.6000000000000001,0.9,positive,0.999875545501709,positive
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,reliable easy use,0.43333333333333335,0.8333333333333334,positive,0.9996548891067505,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,annoying mobile banking app ive ever seen,-0.8,0.9,negative,0.9995847344398499,negative
Cbe mobile banking,5,2025-05-20,CBE,Google Play,cbe mobile banking,0.0,0.0,neutral,0.8304281234741211,positive
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,cant make screenshout app please made modification,0.0,0.0,neutral,0.9841828942298889,negative
Best app I loved it,5,2025-05-19,CBE,Google Play,best app loved,0.85,0.55,positive,0.999723494052887,positive
nice app,5,2025-05-19,CBE,Google Play,nice app,0.6,1.0,positive,0.9998061060905457,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,amazing applicatiom sometimes doesnt work,0.6000000000000001,0.9,positive,0.970992922782898,negative
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,well satisfied beautiful app,0.675,1.0,positive,0.999863862991333,positive
very good,4,2025-05-17,CBE,Google Play,good,0.7,0.6000000000000001,positive,0.9998161196708679,positive
best app.,5,2025-05-17,CBE,Google Play,best app,1.0,0.3,positive,0.999686598777771,positive
"not working,why???",5,2025-05-17,CBE,Google Play,workingwhy,0.0,0.0,neutral,0.8490011096000671,positive
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,great impact developer option turnoff fix,0.8,0.75,positive,0.9929900169372559,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,always disappointing especially io one similar local application extremely superior application really disappointing,-0.08333333333333333,0.6166666666666667,negative,0.9997307658195496,negative
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,woxe harimo ribiso,0.0,0.0,neutral,0.9374371767044067,negative
"Good ,easy to use",5,2025-05-16,CBE,Google Play,good easy use,0.5666666666666667,0.7166666666666668,positive,0.9997110962867737,positive
Good app,5,2025-05-15,CBE,Google Play,good app,0.7,0.6000000000000001,positive,0.9998493194580078,positive
Good job👍,5,2025-05-14,CBE,Google Play,good job,0.7,0.6000000000000001,positive,0.999835729598999,positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,please kindly ask update app allow screenshot convenient efficient long add security access reason block screenshooting screen,0.27499999999999997,0.65,positive,0.9778883457183838,negative
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,using cbe mobile banking app overall appreciate feuteres however ive notticed turn developer option divice appstop functioning prorerly itwould great could look issue often need access developer setting otter application thankyou attention matter,0.4,0.375,positive,0.5316624641418457,positive
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,customer service bad nothing good bank,5.551115123125783e-17,0.6333333333333333,positive,0.9995587468147278,negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,amazing mobile banking appbut screenshot receipt doesnt work,0.6000000000000001,0.9,positive,0.9804956316947937,negative
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,fast simple easy use,0.2111111111111111,0.5968253968253968,positive,0.9955869913101196,positive
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,fastest transferring app ever reliable,0.0,0.0,neutral,0.9966121315956116,positive
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,fund transferred bank reflect account even though confirmation text message received,0.0,0.0,neutral,0.9822893738746643,negative
it's easy and fast,5,2025-05-10,CBE,Google Play,easy fast,0.31666666666666665,0.7166666666666667,positive,0.997892439365387,positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,app dont self activation look near cbe branch thats disgusting,-0.45,0.7,negative,0.9985540509223938,negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,hello dearest cbe office personnel make benefit using interest free account thanks help,0.30000000000000004,0.5,positive,0.9981657862663269,positive
wow best application ever,5,2025-05-09,CBE,Google Play,wow best application ever,0.55,0.65,positive,0.9997984766960144,positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,sorry developer mode application hack sure developer stupid doesnt make sense,-0.26666666666666666,0.9629629629629629,negative,0.9998055100440979,negative
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,pride ethiopian bank,0.0,0.0,neutral,0.9983717799186707,positive
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,app telling turn developer option please fix,0.0,0.0,neutral,0.9477195739746094,negative
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,happy small prob transfer cant put transfer cashe bil dic,0.275,0.7,positive,0.9675687551498413,positive
amazing apps,5,2025-05-06,CBE,Google Play,amazing apps,0.6000000000000001,0.9,positive,0.9998716115951538,positive
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,service mobile banking,0.0,0.0,neutral,0.7986071705818176,positive
needs improvement,1,2025-05-06,CBE,Google Play,need improvement,0.0,0.0,neutral,0.983095109462738,negative
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,miss old one couldnt send mony bank,0.1,0.2,positive,0.9962800145149231,negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,app recently crushing time open try make transfersit used good take lesson dashen super app ethiotelecom befitting experience glory inv3st making friendly convenient considering leaving cbe good,0.41805555555555557,0.6277777777777778,positive,0.9283407926559448,negative
good but these week not oky,4,2025-05-06,CBE,Google Play,good week oky,0.7,0.6000000000000001,positive,0.9998664855957031,positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,well designed fixing bug two step verification biometric simply great,0.8,0.75,positive,0.9962579011917114,positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,developer reading please fix screenshot functionality least download button work flawlessly without touching twenty time,0.39999999999999997,0.6333333333333333,positive,0.9819852709770203,negative
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,great jobbut one thing hasnt placed transfer bank face like mobile charge card place,0.8,0.75,positive,0.6486319899559021,negative
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,cbe mobilr bankg,0.0,0.0,neutral,0.8703056573867798,positive
verygood,3,2025-05-05,CBE,Google Play,verygood,0.0,0.0,neutral,0.9988996982574463,positive
ممتاز جدا,5,2025-05-04,CBE,Google Play,ممتاز جدا,0.0,0.0,neutral,0.8031745553016663,negative
it's very low quality application,1,2025-05-04,CBE,Google Play,low quality application,0.0,0.3,neutral,0.9989878535270691,negative
Very Amazing Apps,5,2025-05-04,CBE,Google Play,amazing apps,0.6000000000000001,0.9,positive,0.9998716115951538,positive
አዛ,1,2025-05-04,CBE,Google Play,,0.0,0.0,neutral,0.9541465044021606,positive
wow simple life,5,2025-05-04,CBE,Google Play,wow simple life,0.05,0.6785714285714286,positive,0.9997076392173767,positive
it's nice,5,2025-05-03,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
Why stacked sometimes,5,2025-05-03,CBE,Google Play,stacked sometimes,0.0,0.0,neutral,0.9902841448783875,negative
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,okay sometimes busy,0.3,0.4,positive,0.995305597782135,positive
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,worst commercial company fails even normal thing,-0.3375,0.4875,negative,0.9997966885566711,negative
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,good app disappointed general cessation system,-9.25185853854297e-18,0.6166666666666667,negative,0.9282512068748474,negative
Good and fast,5,2025-05-02,CBE,Google Play,good fast,0.44999999999999996,0.6000000000000001,positive,0.9998499155044556,positive
Unreliable!,1,2025-05-02,CBE,Google Play,unreliable,0.0,0.0,neutral,0.9997265934944153,negative
Best the best fast,5,2025-05-02,CBE,Google Play,best best fast,0.7333333333333334,0.39999999999999997,positive,0.9998225569725037,positive
happy,5,2025-05-02,CBE,Google Play,happy,0.8,1.0,positive,0.9998753070831299,positive
fast and reliable,5,2025-05-02,CBE,Google Play,fast reliable,0.2,0.6,positive,0.9998382329940796,positive
network errorrrrrr,2,2025-05-02,CBE,Google Play,network errorrrrrr,0.0,0.0,neutral,0.9978076815605164,negative
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,best app problem cant send money telebirr mpesa add could use full,0.675,0.42500000000000004,positive,0.9951658248901367,negative
its good and simple to use,5,2025-05-02,CBE,Google Play,good simple use,0.35,0.47857142857142865,positive,0.9997674822807312,positive
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,worest app like bank security network access,0.0,0.0,neutral,0.9937354922294617,negative
it's the best app i,5,2025-05-02,CBE,Google Play,best app,1.0,0.3,positive,0.999686598777771,positive
not bad not good,1,2025-05-02,CBE,Google Play,bad good,5.551115123125783e-17,0.6333333333333333,positive,0.9997218251228333,positive
its very nice,5,2025-05-02,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
do not work this week,3,2025-04-30,CBE,Google Play,work week,0.0,0.0,neutral,0.9412037134170532,positive
It crashes frequently,4,2025-04-30,CBE,Google Play,crash frequently,0.1,0.3,positive,0.9985750913619995,negative
the best,5,2025-04-28,CBE,Google Play,best,1.0,0.3,positive,0.9997941851615906,positive
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,simply describe app making work easier,0.0,0.35714285714285715,neutral,0.9366989135742188,positive
goid,5,2025-04-28,CBE,Google Play,goid,0.0,0.0,neutral,0.7086994647979736,negative
best appearance,5,2025-04-27,CBE,Google Play,best appearance,1.0,0.3,positive,0.9996986389160156,positive
it's very good 👍 app,5,2025-04-27,CBE,Google Play,good app,0.7,0.6000000000000001,positive,0.9998493194580078,positive
I need support you,5,2025-04-27,CBE,Google Play,need support,0.0,0.0,neutral,0.9610945582389832,negative
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,worst mobile banking ever seen life,-1.0,1.0,negative,0.9997971653938293,negative
super,5,2025-04-26,CBE,Google Play,super,0.3333333333333333,0.6666666666666666,positive,0.998783528804779,positive
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,ጠጀጨገጀጀገ,0.0,0.0,neutral,0.6970565915107727,negative
i like the app,5,2025-04-26,CBE,Google Play,like app,0.0,0.0,neutral,0.9840216040611267,positive
the Best,1,2025-04-26,CBE,Google Play,best,1.0,0.3,positive,0.9997941851615906,positive
to other bank is bad,1,2025-04-25,CBE,Google Play,bank bad,-0.6999999999999998,0.6666666666666666,negative,0.9997609257698059,negative
tank's,5,2025-04-25,CBE,Google Play,tank,0.0,0.0,neutral,0.9976772665977478,negative
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,good add feature like bank statement showing,0.7,0.6000000000000001,positive,0.9995161294937134,positive
it is so nice,5,2025-04-24,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
Very Good👍,5,2025-04-21,CBE,Google Play,good,0.7,0.6000000000000001,positive,0.9998161196708679,positive
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,first frequent experience cbe app criticaltime failure suspending payment air day zero explanation deducting sender account without depositing receiver act another fatal error banking company whole app though forcedbanking corporation without consent employersusers corresponding corporation,0.058333333333333334,0.33333333333333337,positive,0.997050404548645,negative
"wow, amazing app",5,2025-04-21,CBE,Google Play,wow amazing app,0.35000000000000003,0.95,positive,0.9998513460159302,positive
use ful,5,2025-04-21,CBE,Google Play,use ful,0.0,0.0,neutral,0.9949980974197388,negative
Great app,5,2025-04-21,CBE,Google Play,great app,0.8,0.75,positive,0.999821126461029,positive
well app,5,2025-04-20,CBE,Google Play,well app,0.0,0.0,neutral,0.9993765950202942,positive
Actually it is inactive,4,2025-04-19,CBE,Google Play,actually inactive,0.0,0.1,neutral,0.9996507167816162,negative
"slow, only one account is used",2,2025-04-19,CBE,Google Play,slow one account used,-0.30000000000000004,0.39999999999999997,negative,0.9996602535247803,negative
